Token,Rendu EN,Rendu FR,Action recommandée,Domaine,Note,Source URL
A2C,A. two C.,A. two C.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
A3C,A. three C.,A. three C.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ABM,A. B. M.,A.B.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Adam,A. D. A. M.,A.D.A.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
AdamW,A. D. A. M. W.,A.D.A.M.W.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Adapters,A. D. A. P. T. E. R. S.,A.D.A.P.T.E.R.S.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
AIGC,A. I. G. C.,A.I.G.C.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ALBERT,albert,albert,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ALiBi,A. L. I. B. I.,A.L.I.B.I.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
AlphaFold,Alpha-Fold,Alpha-Fold,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
AlphaGo,Alpha-Go,Alpha-Go,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ArenaHard,A. R. E. N. A. H. A. R. D.,A.R.E.N.A.H.A.R.D.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ASR,A. S. R.,A.S.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
AUC,A. U. C.,A.U.C.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
AutoML,A. U. T. O. M. L.,A.U.T.O.M.L.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
BatchNorm,B. A. T. C. H. N. O. R. M.,B.A.T.C.H.N.O.R.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
BC,B. C.,B.C.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
BigBench,B. I. G. B. E. N. C. H.,B.I.G.B.E.N.C.H.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
BLEU,B. L. E. U.,B.L.E.U.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
BoolQ,B. O. O. L. Q.,B.O.O.L.Q.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
CAI,C. A. I.,C.A.I.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
CatBoost,cat boost,cat boost,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
CER,C. E. R.,C.E.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ChatbotArena,C. H. A. T. B. O. T. A. R. E. N. A.,C.H.A.T.B.O.T.A.R.E.N.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Chinchilla,chinchilla,chinchilla,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
CIDEr,C. I. D. E. R.,C.I.D.E.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Claude,Claude,Claude,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ConstitutionalAI,C. O. N. S. T. I. T. U. T. I. O. N. A. L. A. I.,C.O.N.S.T.I.T.U.T.I.O.N.A.L.A.I.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
CRF,C. R. F.,C.R.F.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
CTR,C. T. R.,C.T.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
CV,C. V.,C.V.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
CVR,C. V. R.,C.V.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
DBSCAN,D. B. S. C. A. N.,D.B.S.C.A.N.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
DDIM,D. D. I. M.,D.D.I.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
DDPG,D. D. P. G.,D.D.P.G.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
DDPM,D. D. P. M.,D.D.P.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
DeBERTa,D. E. B. E. R. T. A.,D.E.B.E.R.T.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Diffusion,D. I. F. F. U. S. I. O. N.,D.I.F.F.U.S.I.O.N.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
DistilBERT,D. I. S. T. I. L. B. E. R. T.,D.I.S.T.I.L.B.E.R.T.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
DL,D. L.,D.L.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Doc2Vec,doc two vec,doc two vec,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
DoRA,D. O. R. A.,D.O.R.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
DQN,D. Q. N.,D.Q.N.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
DROP,D. R. O. P.,D.R.O.P.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
EdgeAI,E. D. G. E. A. I.,E.D.G.E.A.I.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ELBO,E. L. B. O.,E.L.B.O.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ELECTRA,electra,electra,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ELMo,E. L. M. O.,E.L.M.O.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ELMO,elmo,elmo,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
EMA,E. M. A.,E.M.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ERNIE,ernie,ernie,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Evals,E. V. A. L. S.,E.V.A.L.S.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
FastText,fast text,fast text,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
FrontierAI,F. R. O. N. T. I. E. R. A. I.,F.R.O.N.T.I.E.R.A.I.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
GAT,G. A. T.,G.A.T.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
GCN,G. C. N.,G.C.N.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
GeLU,G. E. L. U.,G.E.L.U.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Gemini,Gemini,Gemini,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
GenAI,G. E. N. A. I.,G.E.N.A.I.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
GLaM,glam,glam,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
GloVe,glove,glove,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
GLU,G. L. U.,G.L.U.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
GMM,G. M. M.,G.M.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
GNN,G. N. N.,G.N.N.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
GQA,G. Q. A.,G.Q.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Grok,Grok,Grok,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
HAI,H. A. I.,H.A.I.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
HDBSCAN,H. D. B. S. C. A. N.,H.D.B.S.C.A.N.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
HELM,H. E. L. M.,H.E.L.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
HMM,H. M. M.,H.M.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
IA3,I. A. three,I.A. three,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ICA,I. C. A.,I.C.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
IFEval,I. F. E. V. A. L.,I.F.E.V.A.L.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
IL,I. L.,I.L.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
IoU,I. O. U.,I.O.U.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
IPO-ML,I. P. O. dash M. L.,I.P.O. tiret M.L.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
IR,I. R.,I.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
IRL,I. R. L.,I.R.L.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
KAN,K. A. N.,K.A.N.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
KG,K. G.,K.G.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
KGE,K. G. E.,K.G.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
KMeans,K. M. E. A. N. S.,K.M.E.A.N.S.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
KNN,K. N. N.,K.N.N.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
KTO,K. T. O.,K.T.O.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
KV,K. V.,K.V.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
KV-cache,K. V. dash C. A. C. H. E.,K.V. tiret C.A.C.H.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
LAMB,L. A. M. B.,L.A.M.B.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
LAMBADA,L. A. M. B. A. D. A.,L.A.M.B.A.D.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
LARS,L. A. R. S.,L.A.R.S.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
LayerNorm,L. A. Y. E. R. N. O. R. M.,L.A.Y.E.R.N.O.R.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
LightGBM,light G. B. M.,light G.B.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
LiveBench,L. I. V. E. B. E. N. C. H.,L.I.V.E.B.E.N.C.H.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
LMM,L. M. M.,L.M.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
LMSYS,L. M. S. Y. S.,L.M.S.Y.S.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
LoCon,L. O. C. O. N.,L.O.C.O.N.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MAB,M. A. B.,M.A.B.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
